url	relativeFilepath
http://schemas.microsoft.com/developer/msbuild/2003	.\src\CommonCpp.props
http://www.nvidia.com/Drivers	.\src\DotNetBridge\MessageValidator.cs
http://schemas.microsoft.com/developer/msbuild/2003	.\src\NativeBridge\NativeBridge.vcxproj
http://schemas.microsoft.com/developer/msbuild/2003	.\src\python\nimbusml.pyproj
http://www.jmlr.org/papers/volume14/shalev-	.\src\python\docs\docstrings\FastLinearBinaryClassifier.txt
http://www.jmlr.org/papers/volume14/shalev-	.\src\python\docs\docstrings\FastLinearClassifier.txt
http://www.jmlr.org/papers/volume14/shalev-	.\src\python\docs\docstrings\FastLinearRegressor.txt
http://users.cms.caltech.edu/~jtropp/papers/HMT11-Finding-Structure-	.\src\python\docs\docstrings\PcaAnomalyDetector.txt
http://www2.spsc.tugraz.at/www-	.\src\python\docs\docstrings\SigmoidKernel.txt
http://users.cms.caltech.edu/~jtropp/papers/HMT11-Finding-Structure-	.\src\python\nimbusml\decomposition\pcaanomalydetector.py
http://users.cms.caltech.edu/~jtropp/papers/HMT11-Finding-Structure-	.\src\python\nimbusml\internal\core\decomposition\pcaanomalydetector.py
http://www.jmlr.org/papers/volume14/shalev-	.\src\python\nimbusml\internal\core\linear_model\fastlinearbinaryclassifier.py
http://www.jmlr.org/papers/volume14/shalev-	.\src\python\nimbusml\internal\core\linear_model\fastlinearclassifier.py
http://www.jmlr.org/papers/volume14/shalev-	.\src\python\nimbusml\internal\core\linear_model\fastlinearregressor.py
http://www.jmlr.org/papers/volume14/shalev-	.\src\python\nimbusml\linear_model\fastlinearbinaryclassifier.py
http://www.jmlr.org/papers/volume14/shalev-	.\src\python\nimbusml\linear_model\fastlinearclassifier.py
http://www.jmlr.org/papers/volume14/shalev-	.\src\python\nimbusml\linear_model\fastlinearregressor.py
